player,game,round,current_score,round_score,placement,round_wins,game_wins,last_trick
DQN,6,7,11,4,2,20,0,False
Random2,6,7,38,7,1,3,3,False
Random3,6,7,-5,-8,3,3,1,False
Random4,6,7,68,-8,0,3,2,False
DQN,6,8,2,-9,3,21,0,False
Random2,6,8,55,17,0,3,3,False
Random3,6,8,-5,0,2,3,1,False
Random4,6,8,76,0,1,3,2,False
DQN,6,9,7,5,1,21,0,False
Random2,6,9,60,5,1,3,3,False
Random3,6,9,1,6,0,3,1,False
Random4,6,9,76,6,3,3,2,False
DQN,6,10,10,3,1,21,0,False
Random2,6,10,75,15,0,3,3,False
Random3,6,10,2,1,2,3,1,False
Random4,6,10,73,1,3,3,2,False
DQN,6,11,19,9,0,21,0,False
Random2,6,11,79,4,1,3,3,False
Random3,6,11,5,3,2,3,1,False
Random4,6,11,73,3,3,3,2,False
DQN,6,12,23,4,2,21,0,False
Random2,6,12,93,14,0,3,3,False
Random3,6,12,10,5,1,3,1,False
Random4,6,12,66,5,3,3,2,False
DQN,6,13,34,11,0,21,0,False
Random2,6,13,96,3,1,3,3,False
Random3,6,13,10,0,3,3,1,False
Random4,6,13,68,0,2,3,2,False
DQN,6,14,36,2,2,21,0,False
Random2,6,14,96,0,3,3,3,False
Random3,6,14,14,4,1,3,1,False
Random4,6,14,78,4,0,3,2,False
DQN,6,14,39,3,2,21,0,True
Random2,6,14,100,4,1,3,3,True
Random3,6,14,14,0,3,3,1,True
Random4,6,14,87,0,0,3,2,True
DQN,7,1,0,0,2,21,0,False
Random2,7,1,7,7,1,3,3,False
Random3,7,1,18,18,0,3,2,False
Random4,7,1,-9,18,3,3,2,False
DQN,7,2,14,14,0,21,0,False
Random2,7,2,7,0,2,3,3,False
Random3,7,2,18,0,2,3,2,False
Random4,7,2,-7,0,1,3,2,False
DQN,7,3,33,19,0,21,0,False
Random2,7,3,7,0,2,3,3,False
Random3,7,3,24,6,1,3,2,False
Random4,7,3,-16,6,3,3,2,False
DQN,7,4,41,8,1,21,0,False
Random2,7,4,22,15,0,3,3,False
Random3,7,4,17,-7,3,3,2,False
Random4,7,4,-16,-7,2,3,2,False
DQN,7,5,56,15,0,21,0,False
Random2,7,5,22,0,2,3,3,False
Random3,7,5,17,0,2,3,2,False
Random4,7,5,-15,0,1,3,2,False
DQN,7,6,56,0,2,22,0,False
Random2,7,6,35,13,0,3,3,False
Random3,7,6,17,0,2,3,2,False
Random4,7,6,-12,0,1,3,2,False
DQN,7,7,46,-10,3,23,0,False
Random2,7,7,44,9,1,3,3,False
Random3,7,7,21,4,2,3,2,False
Random4,7,7,1,4,0,3,2,False
DQN,7,8,52,6,0,23,0,False
Random2,7,8,48,4,2,3,3,False
Random3,7,8,21,0,3,3,2,False
Random4,7,8,7,0,0,3,2,False
DQN,7,9,46,-6,3,24,0,False
Random2,7,9,49,1,2,3,3,False
Random3,7,9,25,4,1,3,2,False
Random4,7,9,24,4,0,3,2,False
DQN,7,10,42,-4,3,25,0,False
Random2,7,10,49,0,2,3,3,False
Random3,7,10,31,6,1,3,2,False
Random4,7,10,38,6,0,3,2,False
DQN,7,11,53,11,1,25,0,False
Random2,7,11,64,15,0,3,3,False
Random3,7,11,31,0,2,3,2,False
Random4,7,11,28,0,3,3,2,False
DQN,7,12,67,14,0,25,0,False
Random2,7,12,56,-8,3,3,3,False
Random3,7,12,37,6,1,3,2,False
Random4,7,12,32,6,2,3,2,False
DQN,7,13,80,13,0,25,0,False
Random2,7,13,56,0,3,3,3,False
Random3,7,13,39,2,1,3,2,False
Random4,7,13,33,2,2,3,2,False
DQN,7,14,88,8,0,25,0,False
Random2,7,14,56,0,2,3,3,False
Random3,7,14,47,8,0,3,2,False
Random4,7,14,33,8,2,3,2,False
DQN,7,15,96,8,1,25,0,False
Random2,7,15,69,13,0,3,3,False
Random3,7,15,49,2,2,3,2,False
Random4,7,15,26,2,3,3,2,False
DQN,7,16,86,-10,3,26,0,False
Random2,7,16,88,19,0,3,3,False
Random3,7,16,49,0,2,3,2,False
Random4,7,16,33,0,1,3,2,False
DQN,7,17,88,2,1,26,0,False
Random2,7,17,87,-1,3,3,3,False
Random3,7,17,49,0,2,3,2,False
Random4,7,17,48,0,0,3,2,False
DQN,7,18,88,0,2,26,0,False
Random2,7,18,80,-7,3,3,3,False
Random3,7,18,66,17,0,3,2,False
Random4,7,18,54,17,1,3,2,False
DQN,7,18,105,17,0,26,0,True
Random2,7,18,76,-4,3,3,3,True
Random3,7,18,69,3,1,3,2,True
Random4,7,18,54,3,2,3,3,True
DQN,8,1,-6,-6,3,27,0,False
Random2,8,1,0,0,2,3,3,False
Random3,8,1,8,8,1,3,2,False
Random4,8,1,14,8,0,3,3,False
DQN,8,2,-6,0,2,27,0,False
Random2,8,2,15,15,0,3,3,False
