player,game,round,current_score,round_score,placement,round_wins,game_wins,last_trick
Random2,8,15,54,0,1,4,0,False
Random3,8,15,91,18,0,4,1,False
Random4,8,15,74,18,3,4,0,False
ISMCTS,8,16,38,17,0,60,7,False
Random2,8,16,60,6,1,4,0,False
Random3,8,16,93,2,2,4,1,False
Random4,8,16,65,2,3,4,0,False
ISMCTS,8,16,38,0,1,60,8,True
Random2,8,16,53,-7,3,4,0,True
Random3,8,16,116,23,0,4,1,True
Random4,8,16,65,23,1,4,0,True
ISMCTS,9,1,0,0,1,60,8,False
Random2,9,1,0,0,1,4,0,False
Random3,9,1,-2,-2,3,4,1,False
Random4,9,1,18,-2,0,4,0,False
ISMCTS,9,2,2,2,2,60,8,False
Random2,9,2,6,6,1,4,0,False
Random3,9,2,5,7,0,4,1,False
Random4,9,2,19,7,3,4,0,False
ISMCTS,9,3,-4,-6,3,61,8,False
Random2,9,3,27,21,0,4,0,False
Random3,9,3,6,1,1,4,1,False
Random4,9,3,19,1,2,4,0,False
ISMCTS,9,4,-4,0,2,62,8,False
Random2,9,4,41,14,0,4,0,False
Random3,9,4,6,0,2,4,1,False
Random4,9,4,21,0,1,4,0,False
ISMCTS,9,5,-4,0,1,62,8,False
Random2,9,5,62,21,0,4,0,False
Random3,9,5,1,-5,3,4,1,False
Random4,9,5,21,-5,1,4,0,False
ISMCTS,9,6,-11,-7,3,63,8,False
Random2,9,6,62,0,2,4,0,False
Random3,9,6,10,9,1,4,1,False
Random4,9,6,35,9,0,4,0,False
ISMCTS,9,7,3,14,0,63,8,False
Random2,9,7,57,-5,3,4,0,False
Random3,9,7,17,7,1,4,1,False
Random4,9,7,35,7,2,4,0,False
ISMCTS,9,8,3,0,2,63,8,False
Random2,9,8,67,10,1,4,0,False
Random3,9,8,30,13,0,4,1,False
Random4,9,8,28,13,3,4,0,False
ISMCTS,9,9,6,3,2,63,8,False
Random2,9,9,68,1,3,4,0,False
Random3,9,9,37,7,0,4,1,False
Random4,9,9,33,7,1,4,0,False
ISMCTS,9,10,6,0,2,64,8,False
Random2,9,10,82,14,0,4,0,False
Random3,9,10,39,2,1,4,1,False
Random4,9,10,33,2,2,4,0,False
ISMCTS,9,11,8,2,2,64,8,False
Random2,9,11,86,4,1,4,0,False
Random3,9,11,34,-5,3,4,1,False
Random4,9,11,48,-5,0,4,0,False
ISMCTS,9,12,14,6,1,64,8,False
Random2,9,12,86,0,3,4,0,False
Random3,9,12,37,3,2,4,1,False
Random4,9,12,55,3,0,4,0,False
ISMCTS,9,13,28,14,0,64,8,False
